movie_title,PC-1,PC-2
Warriors of Virtue ,-0.2875820932276182,-0.015954333818268482
Last Vegas ,0.06291228742804766,-0.09945487267160968
Goodfellas ,0.5113927300617421,0.6363203719848658
The End of the Affair ,-0.09041334934556218,0.09093277300559134
Dances with Wolves ,0.11752044548687735,0.19232085642888902
Star Wars: Episode VI - Return of the Jedi ,0.33491506592750486,0.15443976043069343
The Bridge of San Luis Rey ,-0.2520519583972285,-0.013938909379661628
House of Sand and Fog ,0.02327121059708238,0.058478200787386025
The Longest Ride ,-0.011362611714949879,-0.01719733667477269
Bad Teacher ,0.0724604625914966,-0.17040770271882413
Valiant ,-0.17994834575891444,-0.043816636524258455
Diary of a Wimpy Kid: Dog Days ,-0.11438506334711124,-0.032216052336385456
My Soul to Take ,-0.14701991247346669,-0.13691632817826824
Mrs. Doubtfire ,-0.007265668939828107,0.0887178020253292
Marvin's Room ,-0.07670420175136058,0.03734776308307973
Big Trouble in Little China ,-0.0024785283009167167,0.09990385601275935
The Naked Gun 2½: The Smell of Fear ,-0.13084841469261135,0.11072715060409648
Midnight Special ,0.04277021606996704,-0.10174577360157866
Chill Factor ,-0.2161590211432652,-0.015542045863588566
Anonymous ,0.08744295652547589,-0.06803064478999206
L.A. Confidential ,0.1826034135863881,0.12178859385580242
Furry Vengeance ,-0.24860202785079158,-0.16718258060291216
Jimmy Neutron: Boy Genius ,-0.15438209091904295,0.004567348075066004
Crazy in Alabama ,-0.1880045728386887,0.06645933602203467
The Wedding Planner ,-0.1383247558325461,-0.05116907164587092
Southpaw ,0.20267387669151782,-0.07602014470117155
A Simple Plan ,-0.01991079461082846,0.09125586689952983
The Kite Runner ,0.055071406399719317,0.028757885211402077
Manderlay ,0.011182959731439089,0.13265112838723908
City of Ghosts ,-0.1958258511849882,0.03594931703109384
Jonah: A VeggieTales Movie ,-0.1725413192723234,0.054429874189714275
The Notebook ,0.196418477968962,0.05922570454788974
Safe Haven ,0.03181042269477189,-0.05625185214667242
The Constant Gardener ,0.10041157889796372,0.018568989603644864
The Conjuring ,0.48176336621901705,-0.23399900271901775
Punch-Drunk Love ,0.09724666971467621,-0.01085592819534479
Money Talks ,-0.18639873858514078,0.06626537935401916
Baby Mama ,-0.08025480632925176,-0.06515702623955996
Step Up 3D ,-0.06531771650292707,-0.05096223133632706
The Imaginarium of Doctor Parnassus ,0.0999231914504729,-0.08835189549495459
Ride with the Devil ,-0.09275791226622451,0.07469409414049732
Without Limits ,-0.13831398247287016,0.12583488898166528
Because of Winn-Dixie ,-0.1159240023067094,0.002517053767052713
The Hunt for Red October ,0.021925972325985872,0.14666785571730492
Leap Year ,-0.07163060520357407,-0.04018137854690318
Agent Cody Banks ,-0.19394342178272767,-0.0557771517572997
Disturbing Behavior ,-0.1730849645278263,-0.016060418658372676
Predator ,0.138056225258031,0.1129897915037693
Groundhog Day ,0.2859065446569342,0.42029563703413675
Reindeer Games ,-0.1122276598353551,-0.010832014689924539
The World's End ,0.26139567452814566,-0.1528976997594955
Remember Me ,0.027747900400316793,-0.0077861779975170915
Selma ,0.20667435859887606,-0.11514456437036948
Cool Runnings ,-0.12255637188130747,0.11835688819829307
Delivery Man ,-0.049011889431411965,-0.07230456893138296
Slow Burn ,-0.20291466855897622,0.003535406062052465
Reign Over Me ,0.0194749094897477,0.03115716997928361
The Conspirator ,0.009895624118923748,-0.03508711677672786
Why Did I Get Married Too? ,-0.2397809407853948,-0.10360642639665532
Birth ,-0.07145673747220686,-0.037650347564594226
Vamps ,-0.2254212382082199,-0.07657525426795946
Broken City ,0.04580331647157754,-0.1425038025286739
