movie_title,PC-1,PC-2
The Adventurer: The Curse of the Midas Box ,-0.23201107264832144,-0.057126301267289806
My Super Ex-Girlfriend ,-0.12901470931565232,-0.0901283179614558
Out Cold ,-0.18244854619748285,0.040462047117461236
Oculus ,0.12202936113351444,-0.16440961993386913
Robin Hood ,0.22462037422910647,-0.12080699929925572
Die Another Day ,0.15205358146996692,-0.07725214058587146
Exiled ,-0.08026851614654502,0.04964901419206954
Hardball ,-0.12670182591710774,0.023354132798255163
The Muse ,-0.16114209706625893,0.006343986765349946
Bride of Chucky ,-0.15862900971403482,-0.0331292586668499
Beavis and Butt-Head Do America ,-0.11200472952978831,0.0823250881236002
The Ladykillers ,0.00513454478087963,-0.031432071526205294
Sabotage ,-0.020968001542183035,-0.13939666834856787
The Canyons ,-0.1970048981380056,-0.19643273497561067
Contact ,0.0989587088508775,0.07576784633216127
The Emperor's Club ,-0.10293881299255811,0.05403419970176003
The Astronaut's Wife ,-0.14834638650326548,-0.03025244186040999
Layer Cake ,0.014212799105214988,0.05796696274548968
My Sister's Keeper ,0.019167945527468064,0.011966936838425531
Don't Say a Word ,-0.08320695462272966,0.010462221621514878
Nim's Island ,-0.09526468663077473,-0.0626789422974677
Charlie's Angels ,-0.007724418130403641,-0.06248038830444528
Poetic Justice ,-0.21969985909973833,0.09174042533603803
Home Run ,-0.2047247275542009,-0.011066881745507413
Into the Blue ,-0.10787264376896077,-0.03732513328645275
Finding Nemo ,0.45968176520885373,-2.283466215213109e-05
Tadpole ,-0.15604782433937409,0.01511966624569611
The Untouchables ,0.048558867553045046,0.1653710357825138
Ready to Rumble ,-0.2144250974434927,-0.004834946987841683
Inside Man ,0.16881668920754717,0.0016569506928159478
The Time Machine ,-0.06873571688465831,-0.027179811049852017
Mad Max Beyond Thunderdome ,-0.09805824774316432,0.1060887310530558
Rumble in the Bronx ,-0.14346277831104168,0.0792077709804005
28 Days ,-0.10859043773878495,-0.004581104743728283
Fireproof ,-0.12025765822888002,0.03918546741473346
Hotel Rwanda ,0.13491320166651238,0.05888218432103849
Bella ,-0.10141157936576459,0.061996365515508994
Nanny McPhee ,-0.062041958940314335,-0.00914402973198549
Head of State ,-0.210288562291164,-0.018970368920742456
From Dusk Till Dawn ,0.05634232905000691,0.057972455443937546
The Prophecy ,-0.1429983086206392,0.0793409538361537
Tangled ,0.2880952324584296,-0.08661345569866434
In Her Line of Fire ,-0.3284538302474508,-0.08034132340911776
Resident Evil: Afterlife ,0.053606660011366804,-0.1281664509446167
My Name Is Bruce ,-0.13734633859202822,-0.02293561172049645
The Doors ,-0.06356076519261919,0.1375335419514119
Primary Colors ,-0.06574813486671754,0.058864864388904245
DragonHeart ,-0.1270905440106062,0.07606247730594108
The Legend of Zorro ,-0.07039766330155392,-0.027335404038168636
The Howling ,-0.08097435695074617,0.10237759334248843
Cape Fear ,0.2056892706914899,0.5694091875611096
Vertical Limit ,-0.06672798578930925,-0.005429106693397258
The Manchurian Candidate ,0.04158993139816216,-0.02069342698647831
The 6th Day ,-0.04731877515829968,-0.027615488009669384
A View to a Kill ,-0.09093414065444323,0.10476198294405237
Dragonfly ,-0.10382010764291408,-0.0017772372971064498
Jack and Jill ,-0.18065820293568902,-0.21935746324718405
DOA: Dead or Alive ,-0.194603463367288,-0.10112302762871177
G.I. Jane ,-0.12033178727759902,0.01677519197751138
The Fan ,-0.03718631985467082,0.3642692956950075
Men in Black II ,0.09167077830900053,-0.06607598037935405
Never Back Down ,-0.04935401021649464,-0.0202840568214626
Team America: World Police ,0.08975149196044263,-0.015602474824336583
Bill & Ted's Excellent Adventure ,-0.09975166004981001,0.10868468678429
The BFG ,0.2367513437942513,0.25058535790778375
The Animal ,-0.21086097601396675,-0.05816172986276887
2046 ,0.02848961970869045,0.02476349537582217
Trees Lounge ,0.006231308925819572,0.43129000839219245
A Very Long Engagement ,0.039288475747408555,0.04263225487035449
Ulee's Gold ,-0.12572802325451932,0.10263975218000956
Funny People ,0.05012904670043946,-0.0649983146828256
Conan the Barbarian ,-0.00859868441986469,0.13499827409473392
Becoming Jane ,-0.022749460964730635,0.007006047617809642
The Fountain ,0.15841650264040502,-0.05948621219856942
This Christmas ,-0.16619505574927684,0.005024133303085765
Freeheld ,-0.0851246917016503,-0.06478756841709865
Alpha and Omega ,-0.18574446069724715,-0.081250885457916
Terminator Genisys ,0.3716398474335981,-0.25941384135655554
Sicario ,0.3635699673044561,-0.17752549118703714
Hit and Run ,-0.06621519258800643,-0.09495553661993264
Teenage Mutant Ninja Turtles ,0.2150569646209364,-0.22127321163911673
The Boondock Saints II: All Saints Day ,-0.09164689706318202,-0.004860245871813452
The Love Guru ,-0.19818491758931173,-0.18623739610219914
Semi-Pro ,-0.0800117789874869,-0.08339136226532362
Tremors ,-0.045838289962275826,0.09093016496063855
The Red Violin ,-0.045754921498143974,0.12002867560300985
Strange Wilderness ,-0.2121693855252347,-0.05932707109966433
Arbitrage ,0.04936766979798924,-0.11998413305205902
Cruel Intentions ,-0.027553883525623497,0.05292764255232514
In the Land of Blood and Honey ,-0.06617361134118128,0.16214514443013986
Pirates of the Caribbean: The Curse of the Black Pearl ,0.5261469634596335,0.03581355877528789
Get Carter ,-0.17566656229330602,-0.043609121335590625
Club Dread ,-0.1701846710633952,-0.0009066275183933353
The Legend of Hercules ,-0.15914808194722624,-0.18834081358739446
The Client ,-0.11248166768913435,0.11786096093411226
I Am Number Four ,0.10141406466976276,-0.1445520824489771
Entrapment ,-0.050600299633447435,0.00277573275219708
Courage ,-0.1377321926273752,0.02227299919673386
Charlie Bartlett ,-0.04675385564839113,-0.00676131340666828
Bring It On ,-0.07380872955392638,-0.01874404270818953
Twilight Zone: The Movie ,-0.1443846169781568,0.13561147832263368
Star Trek VI: The Undiscovered Country ,-0.04017976375312782,0.10776297080653789
The Other Boleyn Girl ,0.09779535034369435,-0.09198180017309421
The Mothman Prophecies ,-0.019702359379160744,-0.005281152558497454
Austin Powers in Goldmember ,0.07961982624983793,-0.05644278778339362
Simply Irresistible ,-0.2336173931775002,0.0037521891355544804
Blade II ,0.07831277014226463,-0.03016690843352274
Bamboozled ,-0.13492602391528552,0.06611761762670026
Antitrust ,-0.112590524626908,-0.0035765276286513106
American Outlaws ,-0.1904093898187796,0.024576784632920227
The Transporter Refueled ,-0.13829168476463494,-0.1456045709667549
Fantastic Four ,0.07917227844196947,-0.31369011506930033
The Pink Panther ,-0.0742229773504892,-0.07263061455197443
Anacondas: The Hunt for the Blood Orchid ,-0.2081196991519253,-0.08853706241910395
What Happens in Vegas ,-0.04342054506894644,-0.05755622192921095
Urbania ,-0.15057650471423673,0.09056268155815583
Mission: Impossible - Ghost Protocol ,0.4099054514838339,-0.14073002732600853
RoboCop ,0.3115148736552537,-0.2700833377077543
The Conspirator ,0.010034614617667505,-0.04049105418841142
Toy Story ,0.22522806002459705,0.11919675437237073
Pushing Tin ,-0.1618873195319808,0.04491639518931949
Puss in Boots ,0.09165693347988238,-0.10909609440911672
Stepmom ,-0.08248984188501872,0.07165662157677855
The Joneses ,-0.07962693819162175,-0.04317367878256011
Jay and Silent Bob Strike Back ,0.03974160604236323,0.0011730234192744507
Monster House ,0.0015228755729787217,-0.05199458203750073
Twilight ,0.31232528566702317,-0.2340430006671133
Hocus Pocus ,-0.13810558699759676,0.10634597311547883
Lonesome Jim ,0.006804182076652357,0.3351608080077218
Loser ,-0.19289603621349055,-0.019805906578195108
Domino ,0.10988623149000296,0.2643448985665384
Critical Care ,-0.2156634028572996,0.05969365440064338
Eye of the Beholder ,-0.19232974904574374,-0.03802094013853384
Forrest Gump ,0.5359429729005032,0.16652150063991983
Derailed ,-0.058790816432604864,0.007206440200016357
Wasabi ,-0.16781767243843435,0.059235181481048296
Scooby-Doo 2: Monsters Unleashed ,-0.17140974078680454,-0.0770915079440469
Mr. & Mrs. Smith ,0.17922862416170957,-0.052440200469520686
Love Stinks ,-0.21007637805073628,0.02342376518135124
Hollywood Ending ,0.036491453323871624,0.31722002591151305
Pulse ,-0.15734658001359322,-0.1261431082944947
Inception ,1.51699096217272,0.30379172567798185
Johnny English Reborn ,-0.05421828376893248,-0.06705052246053932
Fair Game ,0.010353117013118652,-0.060970730927784295
Beautiful Creatures ,0.01942516806183618,-0.11560615197587559
Crazy Heart ,0.0970259578726019,-0.05798919794345946
The Lives of Others ,0.18537275281493298,0.055470745002559316
Girl 6 ,-0.26146919662811613,0.011323856367085008
Aliens vs. Predator: Requiem ,-0.042021392800030116,-0.15655443856115003
Driven ,-0.17856101207202074,-0.07257926973788928
We Were Soldiers ,0.041049587680346465,0.03616952216987733
