movie_title,PC_1,PC_2
House at the End of the Street,-0.032367853,-0.143014703
Journey 2: The Mysterious Island,-0.033588319,-0.119998964
The Mask,-0.035924035,0.104923184
The Assassin,-0.036291171,-0.089427784
Shanghai Noon,-0.036292274,0.014634291
Hide and Seek,-0.038583579,-0.069058052
K-19: The Widowmaker,-0.039116042,0.025268
The Fisher King,-0.040827488,0.150096354
Topsy-Turvy,-0.041342118,0.120650062
Bicentennial Man,-0.042260363,0.058557873
Tears of the Sun,-0.042350764,0.060233508
Aliens vs. Predator: Requiem,-0.042403777,-0.157777702
Fatal Attraction,-0.042419398,0.114335986
Nixon,-0.042816133,0.130372731
Double Jeopardy,-0.043200859,0.008066784
The Whole Nine Yards,-0.043488121,0.020468389
No Reservations,-0.044868411,-0.048978481
Boiler Room,-0.04545819,0.048268776
Behind Enemy Lines,-0.048432621,0.008561978
Veer-Zaara,-0.048579308,0.159491837
Delivery Man,-0.049011889,-0.072304569
Bandits,-0.049660528,0.028029833
Fun with Dick and Jane,-0.050025128,-0.044904693
Entrapment,-0.051898837,-0.000990311
The Switch,-0.051959031,-0.078100773
The Gambler,-0.052817527,-0.095961201
Waterworld,-0.053106927,0.061519672
Skyline,-0.053226172,-0.198739264
The 5th Wave,-0.054248338,-0.168234486
The Wackness,-0.054463759,0.001051966
Hearts in Atlantis,-0.054739583,0.031714818
The Best Years of Our Lives,-0.056611225,0.415029172
Nacho Libre,-0.05771374,-0.079479225
Shaft,-0.058665706,-0.031395954
The Remains of the Day,-0.059565924,0.177188023
Modern Times,-0.060315315,0.450538534
Mr. Deeds,-0.062196348,-0.041134845
Jab Tak Hai Jaan,-0.06237638,0.042396789
Nanny McPhee,-0.06296478,-0.005853334
Cellular,-0.064217394,0.000502456
Step Up 3D,-0.065317717,-0.050962231
The Hunchback of Notre Dame,-0.06706017,0.071928557
Dream House,-0.068791328,-0.085608235
Lone Star,-0.068799652,0.149969383
Scary Movie 3,-0.068991192,-0.078753473
The Family Stone,-0.069480565,-0.01970588
All or Nothing,-0.069566616,0.119140294
The Divide,-0.071639252,-0.087753451
An Unfinished Life,-0.074325925,0.04889165
The Reaping,-0.074376628,-0.088588087
I Know What You Did Last Summer,-0.075658688,-0.032851982
Marvin's Room,-0.076704202,0.037347763
The Warlords,-0.07694805,0.033384345
Murder by Numbers,-0.077843402,-0.013828491
The Way of the Gun,-0.079433602,0.047092364
Bridget Jones: The Edge of Reason,-0.080219538,-0.04085429
Baby Mama,-0.080254806,-0.065157026
Dressed to Kill,-0.082533222,0.149525356
Trade,-0.082996993,0.077176871
The Sisterhood of the Traveling Pants,-0.083215533,0.021559759
Winter in Wartime,-0.084651169,0.024683588
Rabbit-Proof Fence,-0.084682387,0.094856475
A Bridge Too Far,-0.084781601,0.230393417
Mirrormask,-0.085708654,0.026063289
Land of the Lost,-0.086186317,-0.107537359
Runaway Bride,-0.086364969,-0.035006167
Along Came Polly,-0.086962984,-0.03571575
Two Brothers,-0.087430516,0.060577138
Flash of Genius,-0.087443375,0.030859917
We Are Your Friends,-0.087626257,-0.08943444
Love & Basketball,-0.088267317,0.093788411
Bottle Shock,-0.089709974,0.010345229
Confidence,-0.089899286,0.021865175
Take Me Home Tonight,-0.090259012,-0.051504472
The Boondock Saints II: All Saints Day,-0.090286653,-0.005472284
Snow Falling on Cedars,-0.090756741,0.065396031
The Salton Sea,-0.092075342,0.077422776
He Got Game,-0.092567534,0.08639581
Scooby-Doo,-0.093154975,-0.104601425
The Best Man Holiday,-0.093447074,-0.001980836
Abduction,-0.093648591,-0.136139403
Character,-0.094492589,0.151372636
Pet Sematary,-0.094816734,0.090268259
Shall We Dance,-0.095021977,-0.02116813
Iris,-0.095062372,0.057716027
Ghost Ship,-0.095468523,-0.06138659
Swing Vote,-0.095701567,-0.040819224
The Perfect Host,-0.096309679,-0.005128583
The Outsiders,-0.096320315,0.171632143
Exorcist: The Beginning,-0.097782291,-0.086502986
Bride & Prejudice,-0.098601559,-0.003001043
Inside Deep Throat,-0.098869222,0.012287577
Logan's Run,-0.099647042,0.16393184
The Tale of Despereaux,-0.099662191,-0.046729128
The Alamo,-0.10123431,-0.006463381
Cadillac Records,-0.101361185,0.035274482
Kingpin,-0.101704502,0.096490896
Flight of the Phoenix,-0.101785836,-0.009233731
Imaginary Heroes,-0.102800895,0.076211335
Stripes,-0.103060466,0.173562526
Courage Under Fire,-0.103182339,0.078964921
The Big Wedding,-0.103316981,-0.118523605
Beerfest,-0.104293975,0.009189413
Major League,-0.106699538,0.142482185
The Children of Huang Shi,-0.107702146,0.053585508
The Good Thief,-0.108201441,0.037947399
Paul Blart: Mall Cop,-0.10937237,-0.116047361
New Nightmare,-0.110426406,0.055425574
Aimee & Jaguar,-0.110723045,0.110725763
The Dangerous Lives of Altar Boys,-0.11190208,0.069159077
Reindeer Games,-0.11222766,-0.010832015
Rob Roy,-0.112472484,0.1168019
Ramona and Beezus,-0.113418822,0.004399177
Mumford,-0.11395908,0.097066565
The Widow of Saint-Pierre,-0.114270129,0.103738283
Diary of a Wimpy Kid: Dog Days,-0.114385063,-0.032216052
Ella Enchanted,-0.114661976,0.003132811
Charlie's Angels: Full Throttle,-0.115025742,-0.075888325
Evita,-0.115152499,0.069633079
The One,-0.11700698,-0.014561844
Wild Target,-0.117744686,0.021840365
Redacted,-0.117780706,-0.033952205
Clean,-0.118428541,0.053004067
To Die For,-0.1189605,0.117714388
Aqua Teen Hunger Force Colon Movie Film for Theaters,-0.119128917,0.026563444
The Lucky Ones,-0.119564173,0.05447654
Fireproof,-0.11974185,0.041078904
Better Luck Tomorrow,-0.119779534,0.106130758
Alive,-0.119907076,0.136075453
The Bodyguard,-0.120241858,0.076729123
Copying Beethoven,-0.12027601,0.041756284
Halloween 4: The Return of Michael Myers,-0.122282543,0.033999695
Limbo,-0.122457192,0.120053813
Broken Arrow,-0.123004059,0.050848699
The Smurfs 2,-0.123122953,-0.105839168
In & Out,-0.123739111,0.032288492
Quinceañera,-0.123992307,0.05072768
Flatliners,-0.124104305,0.123584535
Tea with Mussolini,-0.124276669,0.086834009
Bon voyage,-0.125470281,0.059114232
Kit Kittredge: An American Girl,-0.125883761,0.01744723
Maid in Manhattan,-0.126369968,-0.069075685
Eve's Bayou,-0.126561358,0.130916857
The Night Listener,-0.128418308,-0.05084028
Raising Victor Vargas,-0.128430996,0.08038711
Sorority Row,-0.128871281,-0.121440127
The Naked Gun 2½: The Smell of Fear,-0.130848415,0.110727151
In the Cut,-0.131414259,-0.050648875
For Greater Glory: The True Story of Cristiada,-0.132001865,0.023866253
Species,-0.13413965,0.021455572
Sea of Love,-0.134331581,0.128769303
Formula 51,-0.134766122,0.020138376
My Life in Ruins,-0.136812827,-0.047439889
Burn,-0.137772036,0.066686224
The Skulls,-0.137926343,-0.011173387
Without Limits,-0.138313982,0.125834889
12 Rounds,-0.139234034,-0.058317267
To Save a Life,-0.140565828,0.069429265
Urban Legend,-0.140872695,-0.018728968
The Lady from Shanghai,-0.14087881,0.361490327
The Last Dragon,-0.140995787,0.151015645
An American Haunting,-0.141123541,-0.08799247
Mars Needs Moms,-0.141602313,-0.101415783
The Prince of Tides,-0.143341292,0.11951675
Kindergarten Cop,-0.143518246,0.087778075
The Prophecy,-0.144008528,0.080725924
Connie and Carla,-0.14462712,0.017520463
My Best Friend's Girl,-0.146132603,-0.02500452
The Extra Man,-0.146550346,-0.047361033
My Soul to Take,-0.147019912,-0.136916328
Special,-0.148005454,0.043246266
The Brass Teapot,-0.14813555,-0.012282705
Shutter,-0.149130973,-0.098418236
Love the Coopers,-0.149372551,-0.086190545
Trucker,-0.150194964,0.022706337
Jimmy Neutron: Boy Genius,-0.154382091,0.004567348
Half Baked,-0.155955975,0.079011226
Chuck & Buck,-0.156276984,0.061500539
Dylan Dog: Dead of Night,-0.156431967,-0.107067575
Three to Tango,-0.158141599,0.024034823
The Legend of Hercules,-0.15862834,-0.186083652
Stolen,-0.158950374,-0.075339855
Little Nicky,-0.158950594,-0.033162088
Bride of Chucky,-0.160077098,-0.032730558
Daylight,-0.160425352,0.044028389
Stomp the Yard,-0.160452264,-0.069008644
Chasing Liberty,-0.161064794,0.011176837
Naked Gun 33 1/3: The Final Insult,-0.161194636,0.076830373
Major Dundee,-0.162348384,0.274875222
Employee of the Month,-0.162362528,-0.043976775
The Mirror Has Two Faces,-0.163019464,0.092609206
The Ghastly Love of Johnny X,-0.163291269,-0.063526248
Mad City,-0.163446083,0.064919464
1911,-0.164108407,-0.020138754
The Object of My Affection,-0.164952647,0.036155154
The Brothers,-0.1652385,0.038835028
Idle Hands,-0.166499312,0.040725329
A Thousand Words,-0.166583687,-0.046962787
The Banger Sisters,-0.166663729,-0.024866255
Basic Instinct 2,-0.166686083,-0.14226399
Jingle All the Way,-0.166862852,-0.004977175
Winter Passing,-0.166868832,0.025455759
The Shadow,-0.169147576,0.047287322
Radio Flyer,-0.170397942,0.154607912
Jonah: A VeggieTales Movie,-0.172541319,0.054429874
The Heart of Me,-0.173604458,0.065572378
Friday the 13th: A New Beginning,-0.175294822,-0.024133943
Conan the Destroyer,-0.175352058,0.086686941
The Tempest,-0.176057783,-0.059429193
Rugrats in Paris: The Movie,-0.176079698,0.023616367
Alvin and the Chipmunks: The Road Chip,-0.176277764,-0.122465293
Shooting Fish,-0.176287189,0.0824488
Switchback,-0.176296184,0.081016974
200 Cigarettes,-0.176626835,0.022937549
Party Monster,-0.176726312,0.038266791
My Fellow Americans,-0.177759389,0.087424079
Donkey Punch,-0.178029624,-0.080904038
