movie_title,MDS_1,MDS_2
Detroit Rock City,1.304247134,0.647841462
50/50,-0.040921653,0.247485178
Terminator 2: Judgment Day,-3.129922819,1.694965179
Black Knight,1.156915088,-1.051597475
The Day the Earth Stood Still,0.209143487,-0.777346001
Don Jon,-10.55896897,-1.040801193
The Homesman,1.207692981,-0.144417364
The River Wild,1.387658872,0.618850114
Jackie Brown,-6.271312625,0.93864144
A Hard Day's Night,-2.644611052,2.32110873
Hoffa,0.846941082,1.175463577
Half Past Dead,1.028894913,-1.175480725
Garden State,0.437503854,0.675167805
Wimbledon,1.421918138,0.02427514
Bran Nue Dae,1.356738248,-0.68626308
The Devil's Own,1.448409861,0.233641644
21,1.286845905,0.259165115
Crossroads,-1.023084025,-2.54401789
Thr3e,1.218318923,-1.036315949
City Hall,1.502891874,0.412964192
Event Horizon,0.685866001,0.600618346
Sabotage,0.850493592,-0.732468261
Black Hawk Down,-0.070166688,1.00312578
The Muppets,-0.38964257,-0.163138016
Bandits,1.355847491,0.396965806
Sorority Boys,1.446431263,-0.569689481
Moonlight Mile,1.407585455,0.371490476
Remember Me,1.161526997,0.349279934
The Names of Love,1.404719544,0.389819834
A Simple Plan,0.913883815,0.971534094
Mad City,1.499792733,0.38224787
Stealing Harvard,1.322509569,-0.793629584
Bridge to Terabithia,0.879429137,0.293828688
Bad Teacher,0.180161504,-0.76020139
TRON: Legacy,-1.410002319,-0.392326283
Spider-Man,-4.494485069,-0.678957446
A Most Violent Year,0.256449269,-0.113404469
50 First Dates,0.773649122,0.35512623
She's Out of My League,1.267778451,-0.13816762
Hotel Transylvania,-1.962534723,-0.949351959
The Jungle Book,-1.913794644,-0.064245498
Movie 43,-1.11377503,-2.524856854
You Kill Me,1.401981512,0.037870786
Clockstoppers,1.36630715,-0.641300417
3 Ninjas Kick Back,0.855835906,-1.430538386
Down and Out with the Dolls,1.580387085,0.094486925
Hero,-0.242747806,0.675774913
Freddy Got Fingered,0.685800683,-1.26751903
Panic Room,-9.716217199,0.015673883
Fast Five,-2.523001732,-0.874198379
Exorcist: The Beginning,0.936783689,-0.727528376
The Tourist,0.060488454,-0.742087824
The Royal Tenenbaums,0.297299477,0.805464577
The Young Victoria,1.118857424,0.343810033
Cop Land,1.125465769,0.674050967
Daylight,1.475239902,0.116723853
On the Waterfront,-5.444388279,2.899881979
Street Kings,1.204528304,0.080837163
Opal Dream,1.509673383,0.242819857
Babe: Pig in the City,1.522473601,0.032234304
Fiddler on the Roof,-3.083130632,2.395289317
Connie and Carla,1.524828324,0.097732708
Flyboys,1.353168506,0.258081458
Swordfish,1.088516338,0.203377397
The Saint,1.385330457,0.404517412
Back to the Future Part II,-0.465514982,1.450459541
All the Pretty Horses,-1.507003896,-0.791626989
The Cat in the Hat,-0.425484633,-2.105683147
The Purge: Election Year,1.254748628,-0.46813108
Tin Cup,1.232254857,0.692261007
People I Know,1.503919201,-0.551964053
Shadow Conspiracy,1.3103112,-0.974714534
The Boy Next Door,0.455581696,-1.599510054
Looper,-2.934114979,-0.811476153
About a Boy,0.987931729,0.597197572
Argo,-3.821637649,-1.033960183
Pirates of the Caribbean: Dead Man's Chest,-3.781200121,-0.256838888
Inkheart,1.345208546,-0.238862652
The Gift,0.607990785,-0.055542488
Mrs. Doubtfire,-0.520977191,1.131780202
Lakeview Terrace,1.343215089,-0.215981588
Ip Man 3,1.436987441,0.243151179
The Big Wedding,0.22280801,-1.578178008
Deep Blue Sea,0.835649107,-0.186249401
