movie_title,MDS_1,MDS_2
Freddy Got Fingered ,-2.793122317,4.133380524
Panic Room ,17.31974351,-0.435628443
Fast Five ,7.925812801,-6.819198334
Exorcist: The Beginning ,-4.296902503,0.948518548
The Tourist ,0.857741848,-5.006036399
The Royal Tenenbaums ,0.231300837,-3.181102384
The Young Victoria ,-3.286781863,-1.187030819
Cop Land ,-2.333348529,0.404912647
Daylight ,-2.656263765,3.463414778
On the Waterfront ,6.397105207,2.082792519
Street Kings ,-3.15852965,-1.690552561
Opal Dream ,-2.366272894,4.037849613
Babe: Pig in the City ,-2.602784855,3.690112838
Fiddler on the Roof ,4.998713165,2.128926996
Connie and Carla ,-3.389252437,3.003466377
Flyboys ,-3.698612086,0.747226727
Swordfish ,-3.215878539,-1.183319368
The Saint ,-2.768534289,2.827875516
Back to the Future Part II ,1.349614005,-0.995064588
All the Pretty Horses ,-3.004155866,2.235622055
The Cat in the Hat ,0.104728108,4.001906185
The Purge: Election Year ,-3.926303305,-0.826219553
Tin Cup ,-2.190060078,3.044629036
People I Know ,-2.007619571,4.623741515
Shadow Conspiracy ,-0.255272904,5.266591021
The Boy Next Door ,0.21912731,2.26744218
Looper ,13.25880787,-7.595383413
About a Boy ,-2.645309299,-0.758348824
Argo ,17.07160609,-7.769889987
Pirates of the Caribbean: Dead Man's Chest ,11.05213233,-6.525221886
Inkheart ,-4.185646737,0.439304766
The Gift ,-0.443109809,-4.439015734
Mrs. Doubtfire ,-0.986266954,0.323887072
Lakeview Terrace ,-4.138001478,0.157745224
Ip Man 3 ,-3.904888055,1.347277242
The Big Wedding ,-4.391378717,0.62793393
Deep Blue Sea ,-3.63631366,-1.197599451
Star Trek Beyond ,2.215495345,-5.511056397
The Sum of All Fears ,-2.94495555,-1.649004556
The Infiltrator ,-3.698186525,1.306945927
Dragonball: Evolution ,-5.180391978,-4.295642408
Kansas City ,-1.219862465,3.891807191
The Four Feathers ,-3.448276381,1.841227423
Mickey Blue Eyes ,-3.415405343,3.159670489
Diary of the Dead ,-2.880071798,-2.228956632
Deuce Bigalow: European Gigolo ,-1.078143879,4.482961365
Hollow Man ,-3.647134663,-0.749701956
