movie_title,PC_1,PC_2
Bandits,-0.048285058,0.028417268
Another Year,0.065662631,-0.028157265
At First Sight,-0.169882768,0.038626919
Post Grad,-0.18388228,-0.080562431
The Fugitive,0.085232957,0.130881701
The Fountain,0.158416503,-0.059486212
The Widow of Saint-Pierre,-0.112446739,0.098450972
Vantage Point,0.057000572,-0.085170245
Dave Chappelle's Block Party,-0.061053771,0.058804799
Steamboy,-0.096580846,0.030007987
City of Ember,-0.095026825,-0.024432169
Thor: The Dark World,0.517260119,-0.262488234
Big Fat Liar,-0.184677086,-0.025823042
The Unborn,-0.11133872,-0.133927083
The Thirteenth Floor,-0.067719204,0.05457934
Les Misérables,0.560910292,-0.245190081
The Color Purple,0.150035562,0.580133271
Tae Guk Gi: The Brotherhood of War,-0.015892803,0.119743798
Paranormal Activity 3,0.039782027,-0.157355883
The DUFF,-0.055658833,-0.070430092
The Tourist,0.144138606,-0.175539578
Philomena,0.196338324,-0.119275311
Notes on a Scandal,0.039734274,-0.019024778
Apocalypse Now,0.366857197,0.233829883
The Hunt,0.255517496,-0.070373585
Inkheart,-0.071492119,-0.061371924
Cradle Will Rock,-0.107131033,0.081734584
A Madea Christmas,-0.249491931,-0.09325353
Annie Get Your Gun,-0.215086203,0.357898454
The Wash,-0.28519599,-0.036724246
Home Fries,-0.251749184,-0.012487735
Maleficent,0.370338496,-0.216266849
Beavis and Butt-Head Do America,-0.11200473,0.082325088
Isn't She Great,-0.221418917,-0.014500513
Shrek Forever After,0.089610517,-0.107419081
Fireproof,-0.120257658,0.039185467
House of Wax,-0.024289064,-0.115061855
Waiting for Guffman,-0.105086238,0.134552121
A Lot Like Love,-0.08495089,0.006300222
Richard III,-0.106970164,0.12702627
Michael Clayton,0.145154331,-0.054715171
Warlock: The Armageddon,-0.261025897,0.044794639
The Host,0.089182178,-0.16282722
Prom,-0.17998365,-0.073430062
Green Zone,0.087314817,-0.066065863
Harold & Kumar Go to White Castle,-0.009225115,0.010599634
The Mothman Prophecies,-0.019702359,-0.005281153
Boiler Room,-0.044109186,0.04633996
The Purge: Election Year,-0.045292199,-0.106751282
Die Hard,0.280063289,0.132208524
Princess Kaiulani,-0.198419839,0.003869381
We Were Soldiers,0.041049588,0.036169522
The Crocodile Hunter: Collision Course,-0.206544605,-0.023396171
Shark Tale,0.043139408,-0.087156195
Sgt. Bilko,-0.223658421,0.044088773
Home Run,-0.204724728,-0.011066882
The Illusionist,0.158773216,-0.006190941
Jimmy Neutron: Boy Genius,-0.153399336,0.004066805
Birthday Girl,-0.13420822,-0.005118716
Good Bye Lenin!,0.022673026,0.05814031
Trees Lounge,0.006231309,0.431290008
Running with Scissors,-0.083182796,-0.004469896
Contraband,0.072974033,-0.116329849
Money Train,-0.207843149,0.041799987
Twilight Zone: The Movie,-0.144384617,0.135611478
Weekend,-0.021829893,0.016001496
Motherhood,-0.263096592,-0.084345072
Scott Pilgrim vs. the World,0.291772882,-0.0992101
Sunshine Cleaning,-0.012144499,-0.043138798
Down to You,-0.229249133,-0.039589631
The Astronaut's Wife,-0.148346387,-0.030252442
Monsoon Wedding,-0.029891382,0.066322852
Connie and Carla,-0.144055153,0.014210497
Zack and Miri Make a Porno,0.043693043,-0.081251429
Wonderland,-0.119562815,0.027097878
The Transporter Refueled,-0.138291685,-0.145604571
The Untouchables,0.048558868,0.165371036
Hotel Transylvania 2,0.027209787,-0.081552257
Rabbit Hole,0.029748744,-0.068314254
Bend It Like Beckham,-0.013629514,0.006302492
10 Days in a Madhouse,-0.12219145,0.050235767
The Conspirator,0.010034615,-0.040491054
Best in Show,-0.035313395,0.07161247
Pirates of the Caribbean: The Curse of the Black Pearl,0.526146963,0.035813559
The Straight Story,0.018137353,0.095835803
Rock of Ages,0.126479323,-0.192527669
The Descent,0.202511856,-0.082408132
Into the Blue,-0.107872644,-0.037325133
The Wedding Date,-0.118269962,-0.023967042
One Hour Photo,0.038486951,-0.022205093
The Omega Code,-0.320539387,-0.087483343
Man of the Year,-0.082883795,-0.014732735
Bad Boys II,0.012442277,0.03699304
Enough,-0.135261115,-0.019038832
Love in the Time of Cholera,-0.089787342,0.004314597
The Canyons,-0.197004898,-0.196432735
One for the Money,-0.128302506,-0.120354562
Deuce Bigalow: European Gigolo,-0.211637412,-0.099816048
She's the One,-0.195675754,0.057131772
Malone,-0.253673823,0.083120412
The Bounty,-0.142563005,0.185149823
Armageddon,0.166390766,0.022669839
High School Musical 3: Senior Year,-0.146905763,-0.123531611
Dolphin Tale,-0.034572362,-0.019014137
Dark Shadows,0.592127434,-0.002989952
The Legend of Hercules,-0.159148082,-0.188340814
The Departed,0.777572442,0.447672113
